sku,warehouse_id,supplier_id,current_stock,reorder_level
SKU0001,WH01,S009,867,191
SKU0001,WH02,S009,1161,212
SKU0001,WH03,S009,386,160
SKU0001,WH04,S009,613,66
SKU0002,WH01,S001,1205,165
SKU0002,WH02,S001,540,220
SKU0002,WH03,S001,408,277
SKU0002,WH04,S001,1401,237
SKU0003,WH01,S010,857,279
SKU0003,WH02,S010,118,205
SKU0003,WH03,S010,783,224
SKU0003,WH04,S010,464,153
SKU0004,WH01,S003,697,253
SKU0004,WH02,S003,174,271
SKU0004,WH03,S003,744,211
SKU0004,WH04,S003,1444,183
SKU0005,WH01,S007,1414,273
SKU0005,WH02,S007,664,82
SKU0005,WH03,S007,54,235
SKU0005,WH04,S007,518,293
SKU0006,WH01,S004,11,65
SKU0006,WH02,S004,719,92
SKU0006,WH03,S004,372,277
SKU0006,WH04,S004,972,184
SKU0007,WH01,S009,1251,160
SKU0007,WH02,S009,306,250
SKU0007,WH03,S009,159,124
SKU0007,WH04,S009,775,274
SKU0008,WH01,S003,982,266
SKU0008,WH02,S003,1479,94
SKU0008,WH03,S003,1237,108
SKU0008,WH04,S003,643,153
SKU0009,WH01,S005,194,206
SKU0009,WH02,S005,488,206
SKU0009,WH03,S005,609,275
SKU0009,WH04,S005,411,254
SKU0010,WH01,S003,1102,173
SKU0010,WH02,S003,470,221
SKU0010,WH03,S003,1241,53
SKU0010,WH04,S003,1127,186
SKU0011,WH01,S007,630,182
SKU0011,WH02,S007,607,261
SKU0011,WH03,S007,433,124
SKU0011,WH04,S007,1166,81
SKU0012,WH01,S005,539,71
SKU0012,WH02,S005,232,66
SKU0012,WH03,S005,1113,285
SKU0012,WH04,S005,1222,155
SKU0013,WH01,S009,1464,75
SKU0013,WH02,S009,1048,187
SKU0013,WH03,S009,506,94
SKU0013,WH04,S009,1362,60
SKU0014,WH01,S007,460,230
SKU0014,WH02,S007,455,153
SKU0014,WH03,S007,1091,288
SKU0014,WH04,S007,862,205
SKU0015,WH01,S002,490,114
SKU0015,WH02,S002,1072,224
SKU0015,WH03,S002,563,151
SKU0015,WH04,S002,215,231
SKU0016,WH01,S004,558,208
SKU0016,WH02,S004,488,223
SKU0016,WH03,S004,1265,75
SKU0016,WH04,S004,4,133
SKU0017,WH01,S009,360,252
SKU0017,WH02,S009,247,103
SKU0017,WH03,S009,945,215
SKU0017,WH04,S009,14,273
SKU0018,WH01,S002,1145,70
SKU0018,WH02,S002,452,183
SKU0018,WH03,S002,1317,111
SKU0018,WH04,S002,597,239
SKU0019,WH01,S010,209,127
SKU0019,WH02,S010,713,95
SKU0019,WH03,S010,1246,271
SKU0019,WH04,S010,2,271
SKU0020,WH01,S009,1116,57
SKU0020,WH02,S009,1451,286
SKU0020,WH03,S009,1258,157
SKU0020,WH04,S009,1184,258
SKU0021,WH01,S010,330,126
SKU0021,WH02,S010,49,60
SKU0021,WH03,S010,862,205
SKU0021,WH04,S010,271,117
SKU0022,WH01,S005,1275,97
SKU0022,WH02,S005,695,113
SKU0022,WH03,S005,1113,239
SKU0022,WH04,S005,1016,125
SKU0023,WH01,S002,1162,150
SKU0023,WH02,S002,273,68
SKU0023,WH03,S002,310,151
SKU0023,WH04,S002,885,259
SKU0024,WH01,S004,153,183
SKU0024,WH02,S004,1283,157
SKU0024,WH03,S004,882,78
SKU0024,WH04,S004,124,147
SKU0025,WH01,S007,1296,156
SKU0025,WH02,S007,244,129
SKU0025,WH03,S007,449,211
SKU0025,WH04,S007,1270,57
SKU0026,WH01,S008,1164,155
SKU0026,WH02,S008,7,271
SKU0026,WH03,S008,1375,277
SKU0026,WH04,S008,494,143
SKU0027,WH01,S003,832,220
SKU0027,WH02,S003,1062,130
SKU0027,WH03,S003,186,133
SKU0027,WH04,S003,753,135
SKU0028,WH01,S001,92,135
SKU0028,WH02,S001,1067,186
SKU0028,WH03,S001,420,123
SKU0028,WH04,S001,1179,219
SKU0029,WH01,S004,1278,220
SKU0029,WH02,S004,169,153
SKU0029,WH03,S004,321,104
SKU0029,WH04,S004,455,225
SKU0030,WH01,S002,789,150
SKU0030,WH02,S002,1178,170
SKU0030,WH03,S002,348,244
SKU0030,WH04,S002,1196,59
