shipment_id,purchase_order_id,transport_mode,shipment_cost,transit_delay_days
SH000001,PO00666,Road,1070.0,6
SH000002,PO00662,Air,3617.64,5
SH000003,PO00375,Sea,2047.8,3
SH000004,PO00570,Sea,2131.01,1
SH000005,PO00063,Rail,3959.79,10
SH000006,PO00504,Rail,4821.37,7
SH000007,PO00668,Sea,807.95,5
SH000008,PO00449,Air,2219.03,9
SH000009,PO00428,Air,2508.52,8
SH000010,PO00427,Rail,2006.3,8
SH000011,PO00421,Road,1943.31,6
SH000012,PO00322,Air,450.89,4
SH000013,PO00680,Road,3490.59,10
SH000014,PO00166,Air,2293.83,9
SH000015,PO00597,Sea,1135.01,3
SH000016,PO00649,Rail,4116.96,6
SH000017,PO00461,Road,4052.29,1
SH000018,PO00459,Road,2534.68,10
SH000019,PO00189,Sea,1632.56,11
SH000020,PO00464,Air,3262.85,11
SH000021,PO00379,Road,1583.13,5
SH000022,PO00002,Air,1332.84,0
SH000023,PO00618,Sea,3706.47,1
SH000024,PO00364,Rail,393.56,11
SH000025,PO00072,Road,654.89,10
SH000026,PO00427,Air,232.58,0
SH000027,PO00638,Road,934.13,3
SH000028,PO00170,Air,531.15,5
SH000029,PO00205,Air,4979.85,9
SH000030,PO00337,Air,1586.29,8
SH000031,PO00472,Sea,916.49,9
SH000032,PO00195,Rail,1356.78,9
SH000033,PO00670,Road,4693.4,9
SH000034,PO00653,Rail,2696.77,8
SH000035,PO00275,Air,1951.13,11
SH000036,PO00007,Air,4392.28,-1
SH000037,PO00566,Rail,2095.95,11
SH000038,PO00616,Rail,1808.04,8
SH000039,PO00573,Road,1194.96,7
SH000040,PO00599,Air,2013.42,-1
SH000041,PO00770,Rail,1720.08,-1
SH000042,PO00178,Sea,3451.06,10
SH000043,PO00242,Air,1590.0,8
SH000044,PO00203,Air,2970.56,6
SH000045,PO00543,Road,516.28,4
SH000046,PO00462,Sea,1118.19,4
SH000047,PO00080,Road,2155.55,10
SH000048,PO00523,Sea,4697.36,7
SH000049,PO00417,Road,2010.81,2
SH000050,PO00766,Sea,3387.56,6
SH000051,PO00384,Sea,1424.42,2
SH000052,PO00391,Sea,809.76,0
SH000053,PO00799,Rail,480.98,9
SH000054,PO00688,Air,1665.98,6
SH000055,PO00126,Sea,956.77,10
SH000056,PO00494,Rail,1035.25,5
SH000057,PO00047,Rail,3851.64,2
SH000058,PO00718,Road,276.02,7
SH000059,PO00476,Air,2877.49,7
SH000060,PO00619,Air,2021.41,6
SH000061,PO00464,Road,2631.44,-1
SH000062,PO00787,Air,2901.59,5
SH000063,PO00123,Road,1704.16,3
SH000064,PO00474,Rail,1616.52,5
SH000065,PO00134,Rail,3720.33,10
SH000066,PO00619,Sea,4382.13,7
SH000067,PO00562,Road,1124.39,0
SH000068,PO00607,Rail,668.57,11
SH000069,PO00780,Rail,4509.42,9
SH000070,PO00023,Road,1879.5,2
SH000071,PO00566,Rail,2846.32,2
SH000072,PO00766,Air,1925.81,0
SH000073,PO00235,Rail,803.85,1
SH000074,PO00059,Road,3028.79,9
SH000075,PO00164,Air,2720.68,11
SH000076,PO00771,Air,1174.37,6
SH000077,PO00216,Rail,2368.97,10
SH000078,PO00183,Sea,4025.35,7
SH000079,PO00569,Air,3034.05,4
SH000080,PO00657,Road,665.2,8
SH000081,PO00090,Sea,2830.5,0
SH000082,PO00311,Sea,3573.14,0
SH000083,PO00557,Air,4004.98,5
SH000084,PO00257,Rail,3219.76,6
SH000085,PO00533,Sea,932.76,6
SH000086,PO00533,Rail,3608.83,4
SH000087,PO00052,Air,3451.24,8
SH000088,PO00338,Road,317.25,6
SH000089,PO00171,Sea,2176.39,-1
SH000090,PO00067,Road,1798.16,7
SH000091,PO00625,Rail,3413.18,11
SH000092,PO00300,Rail,1237.45,10
SH000093,PO00672,Road,3036.19,-1
SH000094,PO00778,Air,4583.39,11
SH000095,PO00232,Air,4029.45,1
SH000096,PO00068,Sea,4623.0,10
SH000097,PO00506,Sea,4896.83,7
SH000098,PO00028,Air,251.22,9
SH000099,PO00628,Air,3189.16,3
SH000100,PO00051,Road,2181.63,7
SH000101,PO00693,Rail,4327.3,7
SH000102,PO00260,Rail,1408.71,4
SH000103,PO00591,Sea,4908.94,9
SH000104,PO00785,Air,3145.8,-1
SH000105,PO00620,Road,4008.98,8
SH000106,PO00586,Sea,610.88,5
SH000107,PO00687,Road,1080.6,4
SH000108,PO00184,Air,3840.34,7
SH000109,PO00023,Air,305.54,5
SH000110,PO00786,Air,4121.01,10
SH000111,PO00129,Rail,266.96,9
SH000112,PO00291,Air,3354.17,10
SH000113,PO00501,Sea,1952.45,11
SH000114,PO00186,Rail,3135.18,2
SH000115,PO00479,Road,3540.95,5
SH000116,PO00571,Sea,1843.88,0
SH000117,PO00492,Sea,718.22,4
SH000118,PO00513,Road,534.3,4
SH000119,PO00643,Rail,3026.89,0
SH000120,PO00067,Sea,2699.15,2
SH000121,PO00467,Sea,3762.56,6
SH000122,PO00285,Sea,2646.73,6
SH000123,PO00601,Rail,2227.74,11
SH000124,PO00417,Rail,2110.82,6
SH000125,PO00100,Rail,326.95,6
SH000126,PO00189,Sea,1810.67,-1
SH000127,PO00388,Air,4884.9,0
SH000128,PO00241,Road,4393.07,10
SH000129,PO00782,Air,1781.01,2
SH000130,PO00731,Rail,3021.42,10
SH000131,PO00417,Sea,4267.02,7
SH000132,PO00176,Sea,2318.12,1
SH000133,PO00387,Air,286.2,4
SH000134,PO00471,Air,557.65,5
SH000135,PO00233,Road,2649.89,6
SH000136,PO00663,Sea,4853.31,11
SH000137,PO00452,Air,3527.41,5
SH000138,PO00277,Road,540.4,1
SH000139,PO00229,Rail,1108.93,4
SH000140,PO00171,Air,3902.35,3
SH000141,PO00735,Rail,4238.91,11
SH000142,PO00213,Road,3164.93,10
SH000143,PO00282,Rail,3293.23,8
SH000144,PO00041,Sea,336.02,2
SH000145,PO00122,Sea,4176.95,-1
SH000146,PO00227,Rail,3983.72,11
SH000147,PO00294,Sea,1443.37,5
SH000148,PO00600,Road,3601.65,6
SH000149,PO00267,Sea,1231.3,0
SH000150,PO00541,Rail,393.58,5
SH000151,PO00759,Rail,1165.46,4
SH000152,PO00451,Rail,1057.42,3
SH000153,PO00449,Air,1821.19,11
SH000154,PO00756,Rail,2208.56,2
SH000155,PO00061,Road,2640.99,0
SH000156,PO00502,Sea,2488.42,8
SH000157,PO00147,Sea,1499.24,4
SH000158,PO00686,Air,340.02,3
SH000159,PO00790,Air,3104.49,0
SH000160,PO00334,Road,2099.58,8
SH000161,PO00142,Rail,1633.63,5
SH000162,PO00044,Air,4361.32,4
SH000163,PO00144,Sea,3784.37,10
SH000164,PO00333,Air,4317.27,9
SH000165,PO00497,Air,2575.92,7
SH000166,PO00396,Rail,828.47,9
SH000167,PO00055,Air,3541.86,8
SH000168,PO00307,Road,1189.15,3
SH000169,PO00423,Sea,2317.9,7
SH000170,PO00417,Rail,512.0,7
SH000171,PO00673,Sea,4161.48,11
SH000172,PO00797,Road,804.52,-1
SH000173,PO00325,Road,4534.87,3
SH000174,PO00710,Air,4348.31,7
SH000175,PO00671,Air,2430.0,5
SH000176,PO00080,Air,3772.97,4
SH000177,PO00031,Sea,3173.34,4
SH000178,PO00112,Road,4054.76,9
SH000179,PO00558,Rail,2272.66,5
SH000180,PO00717,Air,3971.88,-1
SH000181,PO00564,Sea,2419.79,2
SH000182,PO00650,Air,4716.64,11
SH000183,PO00472,Road,2534.59,-1
SH000184,PO00074,Rail,2420.57,4
SH000185,PO00553,Road,3968.34,11
SH000186,PO00479,Sea,4143.57,2
SH000187,PO00589,Air,2861.55,-1
SH000188,PO00387,Road,1063.03,7
SH000189,PO00699,Sea,2445.24,10
SH000190,PO00564,Air,4846.75,2
SH000191,PO00433,Rail,3814.33,10
SH000192,PO00412,Road,4093.58,4
SH000193,PO00467,Air,357.56,11
SH000194,PO00599,Air,2445.73,5
SH000195,PO00621,Air,3303.78,6
SH000196,PO00737,Air,4184.16,10
SH000197,PO00248,Road,436.51,11
SH000198,PO00581,Air,4291.71,9
SH000199,PO00120,Sea,2832.32,7
SH000200,PO00067,Road,1147.11,7
SH000201,PO00573,Air,1722.83,6
SH000202,PO00327,Road,1553.26,8
SH000203,PO00703,Sea,2748.12,9
SH000204,PO00470,Sea,448.09,10
SH000205,PO00493,Road,960.97,10
SH000206,PO00701,Air,4100.93,1
SH000207,PO00663,Air,836.5,10
SH000208,PO00286,Sea,1320.3,0
SH000209,PO00608,Air,2376.18,3
SH000210,PO00312,Sea,2682.18,-1
SH000211,PO00309,Air,3865.33,1
SH000212,PO00775,Sea,2347.2,-1
SH000213,PO00097,Rail,3991.35,11
SH000214,PO00113,Air,3168.06,1
SH000215,PO00637,Air,742.88,11
SH000216,PO00456,Air,950.39,2
SH000217,PO00463,Road,2297.76,5
SH000218,PO00132,Air,2105.07,10
SH000219,PO00121,Road,3769.01,10
SH000220,PO00197,Road,2987.54,3
SH000221,PO00482,Sea,2063.04,3
SH000222,PO00634,Road,1019.65,11
SH000223,PO00794,Road,1288.82,-1
SH000224,PO00772,Rail,2962.4,6
SH000225,PO00039,Air,2232.51,11
SH000226,PO00566,Road,2671.65,2
SH000227,PO00512,Air,1019.25,8
SH000228,PO00474,Road,3381.95,3
SH000229,PO00161,Sea,4292.19,0
SH000230,PO00289,Rail,1438.11,10
SH000231,PO00200,Road,2559.27,11
SH000232,PO00788,Air,4882.53,-1
SH000233,PO00528,Sea,1799.56,7
SH000234,PO00685,Air,3056.22,0
SH000235,PO00503,Sea,632.94,4
SH000236,PO00248,Rail,3108.87,-1
SH000237,PO00383,Sea,630.23,-1
SH000238,PO00218,Air,4804.33,7
SH000239,PO00087,Air,3635.18,2
SH000240,PO00082,Road,3983.17,7
SH000241,PO00062,Sea,3579.7,9
SH000242,PO00799,Air,3030.7,3
SH000243,PO00500,Road,2359.58,5
SH000244,PO00042,Rail,4320.19,-1
