production_id,date,sku,output_quantity,downtime_hours,downtime_reason
PR000001,2023-01-01,SKU0016,1490,0.55,None
PR000002,2020-10-28,SKU0006,893,1.98,None
PR000003,2023-03-03,SKU0025,1390,2.05,Maintenance
PR000004,2024-12-16,SKU0012,1341,3.8,Labor Issue
PR000005,2020-08-23,SKU0011,143,2.7,Material Shortage
PR000006,2019-11-23,SKU0015,383,1.56,Labor Issue
PR000007,2021-09-06,SKU0015,215,2.12,Labor Issue
PR000008,2020-09-20,SKU0016,1384,0.64,Labor Issue
PR000009,2023-06-18,SKU0010,323,1.8,Maintenance
PR000010,2019-10-01,SKU0012,1038,1.34,Maintenance
PR000011,2020-11-15,SKU0028,216,0.29,Material Shortage
PR000012,2019-04-26,SKU0013,1515,0.56,Labor Issue
PR000013,2021-05-10,SKU0004,950,0.69,Maintenance
PR000014,2024-06-26,SKU0007,1570,5.16,Material Shortage
PR000015,2020-11-23,SKU0022,182,0.52,Material Shortage
PR000016,2022-01-10,SKU0002,269,0.68,Labor Issue
PR000017,2024-12-01,SKU0026,944,0.92,Machine Failure
PR000018,2023-11-28,SKU0027,1490,2.18,Labor Issue
PR000019,2019-06-03,SKU0027,869,0.25,Machine Failure
PR000020,2024-03-15,SKU0027,1635,6.16,Material Shortage
PR000021,2022-11-28,SKU0015,1542,4.01,Maintenance
PR000022,2022-07-13,SKU0008,1565,1.72,None
PR000023,2019-11-11,SKU0007,466,2.24,Material Shortage
PR000024,2021-11-30,SKU0015,304,0.03,Maintenance
PR000025,2019-04-15,SKU0023,1167,0.83,Material Shortage
PR000026,2024-04-08,SKU0014,110,3.18,Labor Issue
PR000027,2024-03-28,SKU0008,1013,0.16,Machine Failure
PR000028,2022-05-01,SKU0028,231,0.66,Material Shortage
PR000029,2022-11-25,SKU0012,1714,1.76,Maintenance
PR000030,2023-11-08,SKU0013,1607,0.59,Labor Issue
PR000031,2024-05-14,SKU0030,1745,5.44,None
PR000032,2023-05-23,SKU0011,1755,0.28,Labor Issue
PR000033,2020-12-09,SKU0017,1615,3.19,Machine Failure
PR000034,2020-10-12,SKU0029,1523,1.42,Labor Issue
PR000035,2021-08-04,SKU0017,594,2.78,None
PR000036,2020-10-22,SKU0024,1577,0.74,Maintenance
PR000037,2024-11-16,SKU0004,1296,1.45,Material Shortage
PR000038,2022-02-06,SKU0021,1726,3.89,Machine Failure
PR000039,2020-11-30,SKU0008,172,1.26,None
