purchase_order_id,order_date,sku,supplier_id,quantity,promised_delivery_date,actual_delivery_date
PO00001,2021-10-18,SKU0015,S002,48,2021-11-01,2021-11-01
PO00002,2022-02-03,SKU0026,S008,280,2022-02-13,2022-02-12
PO00003,2023-02-09,SKU0014,S007,384,2023-02-15,2023-02-22
PO00004,2020-12-03,SKU0011,S007,294,2020-12-08,2020-12-16
PO00005,2023-04-29,SKU0012,S005,166,2023-05-08,2023-05-14
PO00006,2019-06-11,SKU0026,S008,84,2019-06-25,2019-06-29
PO00007,2019-07-21,SKU0013,S009,381,2019-07-26,2019-07-29
PO00008,2024-06-04,SKU0008,S003,297,2024-06-14,2024-06-12
PO00009,2021-09-22,SKU0030,S002,139,2021-09-30,2021-10-02
PO00010,2021-03-26,SKU0018,S002,184,2021-04-02,2021-04-11
PO00011,2020-03-31,SKU0025,S007,471,2020-04-06,2020-04-14
PO00012,2022-06-29,SKU0001,S009,93,2022-07-09,2022-07-17
PO00013,2021-10-13,SKU0015,S002,31,2021-10-23,2021-10-23
PO00014,2019-12-04,SKU0008,S003,468,2019-12-18,2019-12-16
PO00015,2021-05-28,SKU0028,S001,36,2021-05-31,2021-06-01
PO00016,2021-12-12,SKU0011,S007,204,2021-12-23,2021-12-22
PO00017,2021-03-02,SKU0012,S005,346,2021-03-09,2021-03-08
PO00018,2021-02-02,SKU0012,S005,391,2021-02-08,2021-02-08
PO00019,2020-01-15,SKU0004,S003,245,2020-01-23,2020-01-28
PO00020,2020-05-07,SKU0016,S004,449,2020-05-15,2020-05-20
PO00021,2022-03-26,SKU0004,S003,101,2022-03-30,2022-04-08
PO00022,2024-08-24,SKU0005,S007,486,2024-09-03,2024-09-07
PO00023,2019-03-06,SKU0024,S004,30,2019-03-15,2019-03-18
PO00024,2022-09-29,SKU0005,S007,312,2022-10-02,2022-10-08
PO00025,2022-02-26,SKU0008,S003,473,2022-03-05,2022-03-06
PO00026,2024-07-20,SKU0010,S003,366,2024-08-03,2024-08-12
PO00027,2023-02-04,SKU0017,S009,452,2023-02-12,2023-02-10
PO00028,2022-03-08,SKU0028,S001,93,2022-03-14,2022-03-19
PO00029,2023-03-03,SKU0026,S008,271,2023-03-07,2023-03-11
PO00030,2020-01-27,SKU0009,S005,156,2020-02-02,2020-02-06
PO00031,2023-08-26,SKU0022,S005,450,2023-08-29,2023-08-29
PO00032,2020-02-23,SKU0019,S010,462,2020-03-03,2020-03-04
PO00033,2020-01-14,SKU0029,S004,396,2020-01-18,2020-01-25
PO00034,2023-12-02,SKU0014,S007,266,2023-12-06,2023-12-12
PO00035,2024-09-19,SKU0008,S003,67,2024-09-30,2024-10-03
PO00036,2024-12-22,SKU0009,S005,389,2024-12-29,2024-12-31
PO00037,2019-07-20,SKU0022,S005,431,2019-07-24,2019-07-24
PO00038,2024-02-07,SKU0011,S007,24,2024-02-20,2024-02-26
PO00039,2021-02-18,SKU0023,S002,171,2021-03-01,2021-03-03
PO00040,2020-05-17,SKU0001,S009,454,2020-05-28,2020-05-30
PO00041,2023-10-18,SKU0014,S007,172,2023-10-21,2023-10-22
PO00042,2021-03-15,SKU0005,S007,329,2021-03-28,2021-03-29
PO00043,2024-11-16,SKU0021,S010,290,2024-11-21,2024-11-30
PO00044,2024-03-10,SKU0026,S008,289,2024-03-16,2024-03-14
PO00045,2023-04-20,SKU0014,S007,21,2023-04-29,2023-05-03
PO00046,2021-08-18,SKU0004,S003,283,2021-08-30,2021-09-05
PO00047,2023-01-25,SKU0022,S005,280,2023-01-31,2023-01-31
PO00048,2021-10-25,SKU0023,S002,217,2021-10-29,2021-11-07
PO00049,2020-05-17,SKU0025,S007,36,2020-05-26,2020-05-25
PO00050,2020-02-02,SKU0001,S009,81,2020-02-10,2020-02-10
PO00051,2021-05-20,SKU0022,S005,69,2021-05-25,2021-05-23
PO00052,2020-01-28,SKU0023,S002,439,2020-02-05,2020-02-08
PO00053,2019-07-26,SKU0019,S010,482,2019-08-08,2019-08-16
PO00054,2021-11-04,SKU0008,S003,154,2021-11-12,2021-11-20
PO00055,2024-02-25,SKU0015,S002,102,2024-03-10,2024-03-14
PO00056,2023-01-24,SKU0021,S010,318,2023-01-31,2023-02-08
PO00057,2021-05-13,SKU0015,S002,17,2021-05-19,2021-05-27
PO00058,2020-07-17,SKU0009,S005,88,2020-07-29,2020-07-28
PO00059,2021-10-17,SKU0021,S010,36,2021-10-31,2021-11-05
PO00060,2019-04-06,SKU0009,S005,183,2019-04-09,2019-04-12
PO00061,2024-04-07,SKU0010,S003,59,2024-04-19,2024-04-20
PO00062,2023-10-24,SKU0020,S009,208,2023-11-01,2023-11-03
PO00063,2023-08-06,SKU0025,S007,396,2023-08-10,2023-08-15
PO00064,2020-06-24,SKU0021,S010,358,2020-06-29,2020-06-29
PO00065,2021-11-25,SKU0026,S008,457,2021-12-05,2021-12-05
PO00066,2022-03-29,SKU0009,S005,437,2022-04-10,2022-04-18
PO00067,2023-09-19,SKU0003,S010,190,2023-09-27,2023-09-28
PO00068,2023-12-25,SKU0020,S009,33,2023-12-30,2023-12-28
PO00069,2023-05-17,SKU0025,S007,325,2023-05-26,2023-06-01
PO00070,2021-03-06,SKU0026,S008,387,2021-03-12,2021-03-17
PO00071,2021-11-17,SKU0011,S007,396,2021-11-28,2021-12-03
PO00072,2023-07-02,SKU0006,S004,413,2023-07-09,2023-07-16
PO00073,2022-09-25,SKU0002,S001,55,2022-09-30,2022-10-03
PO00074,2024-06-04,SKU0007,S009,24,2024-06-08,2024-06-12
PO00075,2022-09-16,SKU0018,S002,162,2022-09-29,2022-10-02
PO00076,2023-07-22,SKU0027,S003,231,2023-07-26,2023-08-01
PO00077,2023-03-10,SKU0002,S001,215,2023-03-15,2023-03-15
PO00078,2024-07-31,SKU0027,S003,464,2024-08-04,2024-08-04
PO00079,2023-02-05,SKU0017,S009,282,2023-02-11,2023-02-11
PO00080,2022-11-09,SKU0011,S007,391,2022-11-13,2022-11-20
PO00081,2022-11-01,SKU0027,S003,245,2022-11-13,2022-11-13
PO00082,2022-07-30,SKU0012,S005,349,2022-08-10,2022-08-16
PO00083,2021-08-30,SKU0027,S003,237,2021-09-03,2021-09-12
PO00084,2023-11-04,SKU0019,S010,18,2023-11-15,2023-11-16
PO00085,2022-07-06,SKU0022,S005,175,2022-07-14,2022-07-18
PO00086,2020-12-10,SKU0024,S004,441,2020-12-13,2020-12-19
