date,sku,historical_demand,forecasted_demand
2023-01-27,SKU0030,1104,1234
2021-04-26,SKU0006,1270,1188
2020-05-16,SKU0006,854,852
2020-03-16,SKU0020,492,692
2024-10-17,SKU0021,648,913
2019-11-22,SKU0002,1409,1471
2023-11-01,SKU0026,991,974
2019-03-08,SKU0026,1330,1577
2019-10-31,SKU0024,627,574
2021-08-29,SKU0010,624,589
2020-04-28,SKU0023,542,416
2021-07-17,SKU0026,6,41
2022-12-11,SKU0006,953,1066
2019-05-29,SKU0023,514,585
2022-01-29,SKU0028,754,732
2019-04-06,SKU0017,72,154
2019-10-09,SKU0030,9,0
2020-06-12,SKU0014,561,435
2023-07-01,SKU0005,121,64
2020-08-02,SKU0023,686,828
2023-07-22,SKU0017,512,499
2023-06-20,SKU0002,989,911
2021-03-20,SKU0009,440,571
2020-11-23,SKU0012,1061,1111
2019-08-23,SKU0019,701,796
2021-08-09,SKU0022,590,712
2024-01-29,SKU0007,1368,1297
2022-09-22,SKU0009,1361,1412
2021-10-28,SKU0021,1207,1364
2023-01-06,SKU0016,66,297
2024-05-18,SKU0020,16,0
2020-06-22,SKU0011,1406,1613
2021-03-30,SKU0012,367,515
2023-08-09,SKU0015,903,1197
2019-09-29,SKU0018,1339,1248
2021-10-25,SKU0019,720,1001
2024-04-06,SKU0016,1368,1635
2022-05-27,SKU0015,957,1094
2022-02-15,SKU0005,907,784
2020-08-15,SKU0011,988,1253
2023-05-25,SKU0015,472,273
2019-04-25,SKU0029,114,234
2023-08-05,SKU0018,99,174
2022-12-16,SKU0013,437,526
2019-07-26,SKU0004,1368,1464
2019-04-22,SKU0017,348,316
2022-12-11,SKU0004,138,177
2024-02-26,SKU0016,827,1085
2019-07-04,SKU0023,323,597
2023-10-31,SKU0015,845,667
2021-06-19,SKU0014,1325,1418
2019-08-09,SKU0012,293,264
2023-01-07,SKU0003,967,1089
2021-12-29,SKU0010,1315,1432
2024-07-05,SKU0008,73,268
2020-08-23,SKU0006,483,568
2022-03-06,SKU0022,15,293
2020-05-18,SKU0014,1359,1501
2024-12-18,SKU0017,792,784
2019-08-06,SKU0021,515,483
2023-02-07,SKU0019,924,1127
